part_id,name,category,current_stock,min_stock,reorder_point,unit_cost,supplier_id,last_updated,location,barcode
PART-0001,"Intel Core i9-13900K",CPU,30,6,8,589.99,SUP-005,"2026-01-31 18:51:52","Shelf A",BC977154
PART-0002,"Intel Core i7-13700K",CPU,15,7,12,409.99,SUP-002,"2026-01-31 18:51:52",Counter,BC727624
PART-0003,"Intel Core i5-13600K",CPU,47,4,7,319.99,SUP-003,"2026-01-31 18:51:52","Shelf A",BC821578
PART-0004,"AMD Ryzen 9 7950X",CPU,17,7,10,549.99,SUP-003,"2026-01-31 18:51:52","Shelf B",BC973993
PART-0005,"AMD Ryzen 7 7700X",CPU,10,6,11,349.99,SUP-005,"2026-01-31 18:51:52",Counter,BC970893
PART-0006,"AMD Ryzen 5 7600X",CPU,31,6,9,229.99,SUP-003,"2026-01-31 18:51:52","Shelf B",BC057129
PART-0007,"Intel Core i9-12900K",CPU,24,7,9,489.99,SUP-004,"2026-01-31 18:51:52",Warehouse,BC827204
PART-0008,"AMD Ryzen 9 5950X",CPU,48,5,8,449.99,SUP-001,"2026-01-31 18:51:52","Shelf A",BC458044
PART-0009,"NVIDIA GeForce RTX 4090",GPU,40,3,8,1599.99,SUP-005,"2026-01-31 18:51:52","Shelf B",BC071991
PART-0010,"NVIDIA GeForce RTX 4080",GPU,32,7,10,1199.99,SUP-003,"2026-01-31 18:51:52","Shelf A",BC290171
PART-0011,"NVIDIA GeForce RTX 4070 Ti",GPU,43,7,11,799.99,SUP-004,"2026-01-31 18:51:52",Counter,BC573808
PART-0012,"NVIDIA GeForce RTX 3090",GPU,16,4,10,999.99,SUP-001,"2026-01-31 18:51:52",Counter,BC137106
PART-0013,"AMD Radeon RX 7900 XTX",GPU,44,3,6,999.99,SUP-004,"2026-01-31 18:51:52",Warehouse,BC404234
PART-0014,"AMD Radeon RX 7900 XT",GPU,45,7,13,899.99,SUP-005,"2026-01-31 18:51:52",Counter,BC584199
PART-0015,"NVIDIA GeForce RTX 3080",GPU,44,6,8,699.99,SUP-001,"2026-01-31 18:51:52","Shelf B",BC469904
PART-0016,"Corsair Vengeance DDR5 32GB",Memory,8,6,11,189.99,SUP-005,"2026-01-31 18:51:52","Shelf B",BC588155
PART-0017,"G.Skill Trident Z5 64GB",Memory,53,3,6,349.99,SUP-002,"2026-01-31 18:51:52",Warehouse,BC877107
PART-0018,"Kingston Fury Beast 16GB",Memory,40,4,7,79.99,SUP-005,"2026-01-31 18:51:52","Shelf A",BC789808
PART-0019,"Corsair Dominator 128GB",Memory,52,6,9,699.99,SUP-005,"2026-01-31 18:51:52",Warehouse,BC847573
PART-0020,"Teamgroup T-Force 32GB",Memory,30,6,11,149.99,SUP-001,"2026-01-31 18:51:52","Shelf A",BC711556
PART-0021,"Samsung 990 Pro 2TB NVMe",Storage,25,6,10,249.99,SUP-003,"2026-01-31 18:51:52","Shelf A",BC326618
PART-0022,"WD Black SN850X 2TB",Storage,28,6,10,229.99,SUP-001,"2026-01-31 18:51:52","Shelf A",BC784674
PART-0023,"Samsung 980 Pro 1TB",Storage,46,3,5,129.99,SUP-001,"2026-01-31 18:51:52",Warehouse,BC577034
PART-0024,"Crucial P5 Plus 1TB",Storage,53,5,9,109.99,SUP-005,"2026-01-31 18:51:52",Warehouse,BC471729
PART-0025,"Seagate FireCuda 4TB",Storage,11,4,8,399.99,SUP-002,"2026-01-31 18:51:52","Shelf B",BC921688
PART-0026,"Samsung 870 EVO 2TB SSD",Storage,14,6,9,179.99,SUP-004,"2026-01-31 18:51:52","Shelf B",BC315343
PART-0027,"ASUS ROG Maximus Z790",Motherboard,43,3,8,499.99,SUP-003,"2026-01-31 18:51:52",Counter,BC185273
PART-0028,"MSI MAG Z790 Tomahawk",Motherboard,14,3,7,289.99,SUP-001,"2026-01-31 18:51:52","Shelf B",BC055069
PART-0029,"Gigabyte X670E AORUS",Motherboard,13,7,11,349.99,SUP-003,"2026-01-31 18:51:52",Counter,BC878138
PART-0030,"ASUS TUF Gaming B650",Motherboard,24,5,9,199.99,SUP-002,"2026-01-31 18:51:52",Warehouse,BC401095
PART-0031,"Corsair RM1000x",PSU,20,4,7,189.99,SUP-002,"2026-01-31 18:51:52","Shelf B",BC833887
PART-0032,"EVGA SuperNOVA 850",PSU,17,4,10,149.99,SUP-002,"2026-01-31 18:51:52",Warehouse,BC940232
PART-0033,"Seasonic Focus GX-750",PSU,44,5,9,129.99,SUP-002,"2026-01-31 18:51:52",Warehouse,BC681761
PART-0034,"be quiet! Dark Power 12",PSU,20,7,12,249.99,SUP-001,"2026-01-31 18:51:52","Shelf A",BC121474
PART-0035,"NZXT H7 Flow",Case,31,5,9,129.99,SUP-003,"2026-01-31 18:51:52","Shelf A",BC013654
PART-0036,"Fractal Design Meshify 2",Case,41,4,9,149.99,SUP-002,"2026-01-31 18:51:52",Warehouse,BC609902
PART-0037,"Corsair 5000D",Case,21,4,7,169.99,SUP-004,"2026-01-31 18:51:52","Shelf A",BC198571
PART-0038,"Phanteks Eclipse G360A",Case,21,7,12,99.99,SUP-001,"2026-01-31 18:51:52","Shelf A",BC604421
PART-0039,"NZXT Kraken X73",Cooling,29,7,11,249.99,SUP-003,"2026-01-31 18:51:52",Counter,BC334145
PART-0040,"Corsair iCUE H150i",Cooling,40,4,9,199.99,SUP-005,"2026-01-31 18:51:52","Shelf A",BC625991
PART-0041,"Noctua NH-D15",Cooling,50,6,12,109.99,SUP-003,"2026-01-31 18:51:52",Warehouse,BC709155
PART-0042,"be quiet! Dark Rock Pro 4",Cooling,20,6,10,89.99,SUP-002,"2026-01-31 18:51:52",Warehouse,BC068103
PART-0043,"Arctic Liquid Freezer II",Cooling,25,5,9,119.99,SUP-003,"2026-01-31 18:51:52","Shelf B",BC454992
PART-0044,"LG UltraGear 27"" 4K 144Hz",Display,21,6,9,699.99,SUP-004,"2026-01-31 18:51:52",Counter,BC600725
PART-0045,"Dell S3222DGM 32"" 165Hz",Display,53,3,8,349.99,SUP-002,"2026-01-31 18:51:52",Warehouse,BC864650
PART-0046,"ASUS TUF Gaming 27"" 170Hz",Display,13,7,11,299.99,SUP-004,"2026-01-31 18:51:52","Shelf B",BC212917
PART-0047,"Logitech MX Master 3S",Peripherals,47,5,8,99.99,SUP-001,"2026-01-31 18:51:52",Warehouse,BC425783
